Item,Sentence,all,a lot (of),,,,
140415:37,"um, well before we built our home we were managing [SOME] apartments that we were living in ,",Yes,Yes,,,,
86455:28,"and you, there were [SOME] places, where people, defini-,",No,Yes,,,,
112637:73,"i would like  to do that  as a, as a family and, and [SOME] t v watching.",Yes,Yes,,,,
1214:19:00,"i put a stop to [SOME] of them as far as the door to door, either religious groups, or people peddling products.",Yes,Yes,,,,
21123:14,"i think [SOME] of the tones of the, the daily prime time is questionable,",Yes,Yes,,,,
22656:29,"so, we thought well, maybe there are [SOME] crab in here,",No,Yes,,,,
130807:72,"and one way that we do it sort of in, in iowa  is that we can take [SOME] of our clothes to the consignment shops.",Yes,Yes,,,,
157516:9,"and in [SOME] cases if it's a long trial, the desire  of people  to get out of there and not be stuck  in there for a very long time, that people are changing their minds for the wrong reasons.",Yes,Yes,,,,
97584:19,well hopefully i can do [SOME] consulting work at home.,Yes,Yes,,,,
29227:52,"i, uh, i think we both agree there's [SOME] problems there",No,Yes,,,,
95651:89,"so, i, i, uh, i, i, i feel like it should be mandatory in [SOME] professions,",Yes,Yes,,,,
126348:16,"i guess in [SOME] cases they just consider  pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them or not.",Yes,Yes,,,,
110384:95,"but i've really noticed that there are a lot of, uh, a lot more people that  are more comfortable, at least, with [SOME] women being home and, at least in the circles i've travelled  and in the church that i go to , you know,",Yes,Yes,,,,
164345:22,"well, i think that in [SOME] cases, it is warranted.",Yes,Yes,,,,
19474:11,they had [SOME] real fancy names for them.,No,Yes,,,,
31480:39,"but i would think that, um, that [SOME] guidelines could be set  up to avoid that.",Yes,Yes,,,,
78294:14,"they've had [SOME] terrible problems with hispanics,",No,Yes,,,,
57998:87,"i-, if they could just cut out all the fat and, and get it lean, and start  addressing [SOME] of the other issues, i think  we could take care of everything. and quit  taking care of all these other countries all across the world, you know, who  just end up  using things against us later on anyway.",Yes,Yes,,,,
44952:36,"i mean, i'm sure you heard about [SOME] of ours.",Yes,Yes,,,,
92394:53,"i mean, there there's a little bit, because there's [SOME] of those english words that you just don't exactly know what they mean  ,",Yes,Yes,,,,
79761:35,"and he said, um, let's give her [SOME] race horse shots.",No,Yes,,,,
112058:22,"i sometimes have a problem with [SOME] of the, especially more famous people who  all of a sudden are crawling out of the woodwork  to say that whatever problems they have , you know, was, was because they were abused a-, abused  as children.",Yes,Yes,,,,
155521:29,and i i've seen [SOME] of them like that too,Yes,Yes,,,,
87654:14,"i guess [SOME] of the best things i've ever had , um, i, [SOME] of them were just hors d'oeuvres, you know.",Yes; Yes,Yes; Yes,,,,
41388:61,"i think there was four or five different people, that  would call, you know, [SOME] of them, if they didn't have their addresses and all on them,",Yes,Yes,,,,
32577:19,"next year i was planting [SOME] broccoli and, and [SOME] of those, they're called  cabbage,  cabbage loppers, or whatever.",No; Yes,Yes; Yes,,,,
29678:24,people say let me see [SOME] of your work.,Yes,Yes,,,,
85881:104,"i guess we're going  to have a lot of parades  this weekend in honor of these guys that  are, that  did [SOME] stuff over in the gulf.",No,Yes,,,,
109712:50,"but the trucks that  were supposed to do it, there's been [SOME] problems with  from what i've read  in, you know, the mail that we get",No,Yes,,,,
139879:19,"well, you've got [SOME] experience behind you in the work force.",No,Yes,,,,
97813:26,"and, you know, maybe do [SOME] free lance type work at home.",Yes,Yes,,,,
156465:52,"i mean, it  seems absurd that people will pay, you know, [SOME] bucks just  to get someone to,",No,Yes,,,,
170859:54,"uh, i've had, uh, three boys  through, i guess, uh, [SOME] child care, each one of them",No,Yes,,,,
31279:10,do [SOME] things that  are totally different and unheard of.,Yes,Yes,,,,
121757:115,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, [SOME] fruit to start with  with [SOME] apples sliced up and maybe [SOME] cheddar cheese and crackers and grapes and, um, probably serve maybe [SOME] wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",No; No; No; No,Yes (4),,,,
39653:15,and you can put [SOME] cucumber slices on too.,No,Yes,,,,
6581:42:00,"but i guess, they, you could put [SOME] money  aside while you were there, your expenses and,",Yes,Yes,,,,
156671:38,"but if you could find a way to prevent [SOME] of it , and i'm not sure what it would be . it would be money better  spent than,",Yes,Yes,,,,
63704:23,"now, okay, we run into [SOME] problems once,",Yes,Yes,,,,
146662:13,and there are [SOME] fire stations i can take newspapers to,No,Yes,,,,
20307:42,i thought maybe you had come from somewhere else and had [SOME] experience with taxes there.,No,Yex,,,,
81221:70,"i think you have to let, yo-, you got  to segregate [SOME] of it.",Yes,Yes,,,,
95645:41,"well, i, i feel in light of [SOME] of the accidents and so forth that  have happened lately, that i think there are [SOME] occupations that they should, such as the health field, the transportation field, uh,",Yes; No,Yes; Yes,,,,
146544:24,"i do think that there are [SOME] significant kinds of things to to look for  , you know, if you are faced  with placing someone. in a place like that, uh, you know, aside from the cleanliness and the medical care that  is offered  and such",Yes,Yes,,,,
136383:15,or you been doing [SOME] remodeling work on it.,No,Yes,,,,
81838:54,"so it 's kind of hard at that point to, you know, classify [SOME] of the builders.",Yes,Yes,,,,
160994:25,"but there's [SOME] also some, uh, not so smart ones.",No,Yes,,,,
83056:37,"uh, we're probably making a comparison against, uh, [SOME] european and, uh, and, uh, uh, s-s-say, newer republics that, uh, that  have very high percentages.",Yes,Yes,,,,
97004:103,"because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going  to make [SOME] money,",No,Yes,,,,
15155:80,"i mean, and it 's nice to, to try  to teach young people some, some, uh, uh, civil, uh, consciousness,",No,Yes,,,,
30504:13,and we have [SOME] education programs that he likes .,Yes,Yes,,,,
39049:23,"in the winter time i usually plant [SOME] pansies in there,",No,Yes,,,,
84185:16,now i have got [SOME] daffodils.,No,Yes,,,,
24056:22,but i know there are [SOME] fields where it's really not necessary .,No,Yes,,,,
135381:35,"to me, half the time it's more fascinating than [SOME] of these made up stories.",Yes,Yes,,,,
155741:63,"i think by  putting term limitations on you could, you could slow down [SOME] of the problems.",Yes,Yes,,,,
67111:87,"and some, [SOME] of the people, uh, [SOME] of the higher dollars lawyers and stuff downtown too, are picking up [SOME] of those great big houses,",Yes (3),Yes (3),,,,
20734:79,"they'll help you, recycle, because we, there is [SOME] bins, like behind wal-mart, that  take [SOME] things.",No; Yes,Yes; Yes,,,,
149904:6,"and [SOME] superficial type damage,",Yes,Yes,,,,
118753:13,i think in [SOME] ways that  they need  to be more careful of the teachers that they hire .,Yes,Yes,,,,
117354:63,"i just still have need for the four bedrooms  just having company from time to time. and [SOME] of them coming back home and things, you know.",Yes,Yes,,,,
72832:14,there may be [SOME] schools you could read about  and learn.,No,Yes,,,,
129171:26,what do you feel  are [SOME] of the main problems.,Yes,Yes,,,,
56317:78,"and while that's cooking, i take mayonnaise, about a cup of mayonnaise, and a teaspoon of mustard, and [SOME] garlic powder,",No,Yes,,,,
91286:72,"yet, like, say, you know, the university of small town in arkansas or something, might have [SOME] top specialists in my area.",Yes,Yes,,,,
146901:36,"because i had [SOME] appointments at the office  today, [SOME] interviews",Yes; Yes,Yes; Yes,,,,
129083:10,they have [SOME] good management principals in this new generation.,Yes,Yes,,,,
80278:17,it's just [SOME] of those women that  come up there  looking like arnold schwarzenegger's sister just doesn't get it.,Yes,Yes,,,,
130276:4,"some people,",Yes,Yes,,,,
15749:21,"well, now, we had [SOME] friends that  went  to see it",No,Yes,,,,
63108:7,"and [SOME] of them require me to go out of town,",Yes,Yes,,,,
95586:13,it's got [SOME] pretty strong competitors.,No,Yes,,,,
36621:7,but [SOME] of them are really nice,Yes,Yes,,,,
107709:28,and i think we'll probably experience [SOME] of your weather although i think they have more humidity.,Yes,Yes,,,,
138943:28,"you may get a cold snap or two or [SOME] rain or something like we've been getting  in december,",No,Yes,,,,
112498:14,and save you [SOME] money too.,No,Yes,,,,
36613:5,some of them are pretty rough.,Yes,Yes,,,,
11767:21,"and i hope you enjoy [SOME] more good movies late-,",No,Yes,,,,
38898:13,and i did [SOME] of that.,Yes,Yes,,,,
35576:25,"and i was picking up, uh, [SOME] background noise,",No,Yes,,,,
114610:10,we get [SOME] killer winters up here in the mountains.,Yes,Yes,,,,
121757:169,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, [SOME] fruit to start with  with [SOME] apples sliced up and maybe [SOME] cheddar cheese and crackers and grapes and, um, probably serve maybe [SOME] wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",No (4),Yes (4),,,,
1843:22:00,"i mean i've heard [SOME] songs that, that i just thought  were horrendous cover versions of,",No,Yes,,,,
56109:69,"it 's just probably a good thing that the oil's burning and may, may, make [SOME] people realize that hey, you know, this stuff runs out.",Yes,Yes,,,,
155092:75,"well our situation is just a little bit, kind of the opposite of that cause my wife was not working for [SOME] time and was going to school and just recently, uh, took on a full time job,",No,No?,,,,
126761:25,"e-, even in [SOME] families [SOME] people talk a little bit different.",Yes; Yes,Yes; Yes,,,,
177328:13,"i've done [SOME] other things too. uh, you know.",Yes,Yes,,,,
13977:49,"i think they should either do that, or, or afford [SOME] time to the military, or, or  helping elderly people.",No,Yes,,,,
176960:92,"at the bottom end, they, uh, are always willing  to, uh, let in cheap labor if it lowers the cost of doing business in [SOME] particular area and has strong support from the, powerful people in that area.",No,No,,,,
55386:25,and he's had his problems with [SOME] of the old guard himself.,Yes,Yes,,,,
170740:34,because i know my grandparents wanted  to have [SOME] independence still.,No,Yes,,,,
38927:18,but i have recently done [SOME] cross stitch.,No,Yes,,,,
169939:81,"and it didn't look like, uh, you know, how, yo-, you, you walk into [SOME] rooms  and there's, it's completely generic.",Yes,Yes,,,,
126761:30,"e-, even in [SOME] families [SOME] people talk a little bit different.",Yes; Yes,Yes; Yes,,,,
156938:9,"but in [SOME] cases, yes.",Yes,Yes,,,,
31278:24,maybe there need  to be [SOME] radical changes made.,No,Yes,,,,
10841:72,"but, uh, uh, it, it did show some, some, uh, [SOME] interesting things about the f b i",Yes,Yes,,,,
16319:19,go  buy me [SOME] strawberries.,No,Yes,,,,
75552:115,"it's kind of scary when i think of what  will happen in twenty years, you know, when i have kids and they're grown  and, uh, just kind of [SOME] of the changes that  will happen even more",Yes,Yes,,,,
56842:9,"uh, [SOME] countries voting is obligatory.",Yes,Yes,,,,
53389:28,"i, sometimes i hear [SOME] things on, on the radio.",Yes,Yes,,,,
130958:7,but [SOME] of those are pretty big.,Yes,Yes,,,,
108790:33,"and then [SOME] of it is, [SOME] of it actually gets into [SOME] serious discussions of problems in our, in urban society.",Yes; Yes; Yes,Yes,,,,
166774:13,but there's [SOME] of the day-to-day needs that they just are not able  to deal with  physically anymore.,Yes,Yes,,,,
30001:7,"but [SOME] things, especially letters, if they suggest certain colors for letters, i just go with whatever i want  to .",Yes,Yes,,,,
163414:55,"i guess i k-, i think it's got [SOME] relevance,",No,Yes,,,,
94780:11,"and, uh [SOME] people do",Yes,Yes,,,,
8866:65,"and that, oh, i guess, ranges anywhere from, uh, carpentry work to, um, um, [SOME] types of furniture and, um, oh, i don't know what you would call them , knickknacks, i guess, stuff you hang  on the wall  to put a mirror on",Yes,Yes,,,,
122706:39,where they may have just had a teaching major and then had [SOME] social studies courses,Yes,Yes,,,,
111758:13,"and i had [SOME] time off in the afternoon,",No,Yes,,,,
90051:29,"so, i told them he strangled on [SOME] chicken",No,Yes,,,,
35130:35,"i sit, i sit and watch [SOME] shows,",Yes,Yes,,,,
2199:135,"and they did an analysis  for us based on what we were putting  in and the time frame that we wanted  to look at , and then gave us a good idea back, you know, [SOME] good information  back on whether or not we were going  to achieve those goals, and, or not, and what we needed  to do  so that we could achieve them and the money we could put  in at what time.",No,Yes,,,,
72090:7,and [SOME] of them are real short,Yes,Yes,,,,
134176:70,"and we'll let them try  to drink out of [SOME] of the lakes and try  to fish in [SOME] of the lakes that  have been suffering from, uh, the, uh, acid rain",Yes; Yes,Yes,,,,
109394:16,"but i guess [SOME] of the other smaller colleges might, might be a lot different.",Yes,Yes,,,,
47430:120,"speaking of bush, we're going  to get a little off topic but speaking of bush, they that had a story where he went  to visit [SOME] little, uh, elementary school students, and stuff .",No,Yes,,,,
34149:38,"you can go down and shoot up against a sand bag and [SOME] targets and have, uh, competition.",No,Yes,,,,
132454:18,it beats memberships at [SOME] of these clubs.,Yes,Yes,,,,
107258:36,and i think though that we need  to have [SOME] liquid  around that you don't have  to go through the company  to get .,No,Yes,,,,
102016:6,and [SOME] hard-boiled eggs.,No,Yes,,,,
99170:29,"i, i think [SOME] of the dress codes are different at different schools.",Yes,Yes,,,,
158120:17,"like say [SOME] young kids or something like that that  might be inclined more towards a life of crime, had  to sit and watch and, and see a guy burn or, or, you know, something or shot  by a firing squad or something like that.",Yes,Yes,,,,
89068:107,"but, uh, so when you are first going to school  that, you kind of have the luxury of  being able  to have [SOME] latitude in choosing the place to go .",No,Yes,,,,
131517:11,"especially in [SOME] of these schools around here, i think they have about twenty percent older students.",Yes,Yes,,,,
96870:36,"they were. i was listening to [SOME] of the comments on ra-, television  the other day, uh, about it,",Yes,Yes,,,,
94784:6,and [SOME] people don't.,Yes,Yes,,,,
51562:11,they had [SOME] other expenses that  came up,No,Yes,,,,
13347:26,"well, it seems that there's [SOME] things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and [SOME] of these kinds of things.",No; Yes,Yes,,,,
24192:41,"and, um, i also have a good languages background, linguistics. and [SOME] psychology.",No,Yes,,,,
58962:27,"ye-, you take [SOME] of the batter out and give it to someone else",Yes,Yes,,,,
147337:25,i am sure you have got [SOME] really good nursing homes around dallas.,No,Yes,,,,
50706:31,it  would be great to have [SOME] of those organizations like you mentioned  that  were during the depression or coming out of the depression available for kids.,Yes,Yes,,,,
135016:25,"um, i try  to do [SOME] painting, although i'm not very good at it.",No,Yes,,,,
38792:27,it's a lot about spiritual warfare and [SOME] things like that.,Yes,Yes,,,,
149736:22,"and, uh, they've had [SOME] impact, but not a tremendous amount,",No,Yes,,,,
13059:11,"i sold [SOME] of them,",Yes,Yes,,,,
95345:10,"i do [SOME] p c stand alone work on it,",Yes,Yes,,,,
97320:78,"i was rea-, i was really looking forward to summer, thinking oh, we are going  to have [SOME] time off.",No,Yes,,,,
42183:38,"uh, i can't remember what the town was , [SOME] little area.",No,No,,,,
45067:40,"and, okay, this, this candidate tells you [SOME] things that  are going  to happen",No,Yes,,,,
7361:10:00,they have [SOME] nice stuff down there.,No,Yes,,,,
59953:42,"i wonder if a judge didn't have control of that if [SOME] of that would change, you know.",Yes,Yes,,,,
152359:98,"although he, you know, the more complex your structure  the, uh, less difficult it  is  to kind of carry [SOME] things through",Yes,Yes,,,,
161018:14,"i mean, [SOME] people seem fairly well suited for for, uh, miniature poodles and such.",Yes,Yes,,,,
129179:18,"uh, in dallas, [SOME] of the major problems, uh,",Yes,Yes,,,,
39025:60,"and whenever i go  visit my parents , they're always saying, well, bring [SOME] of your tapes.",Yes,Yes,,,,
66763:14,"but, um, [SOME] of these people are just out and out brutal.",Yes,Yes,,,,
127011:17,i can associate with [SOME] of the people in that movie because of the young students i see  over at the medical school.,Yes,Yes,,,,
101025:37,"but from talking to people in other districts there are [SOME] major problems, uh, with dropouts.",No,Yes,,,,
131523:14,i've seen [SOME] people that  are really quite up there you know,No,Yes,,,,
13424:16,"and in fact, [SOME] of these things i get , [SOME] of these questionnaires,",Yes; Yes,Yes; Yes,,,,
151338:21,"uh, like i said, [SOME] industries, though, i think it'd be very necessary,",Yes,Yes,,,,
122792:22,"well, if you play with [SOME] consistency though, you can get it right back down.",No,Yes,,,,
39625:37,"sliced tomatoes and then green pepper strips, just over it, and [SOME] red onion slices, and just a little bit of, um, basil, and then a little italian dressing over it.",No,Yes,,,,
43046:79,"it would be an interesting, it  would be even more interesting you, you to be [SOME] of these people who  are at the other end of the spectrum.",Yes,Yes,,,,
164185:22,"i, in [SOME] ways, it's almost worse than murder.",Yes,Yes,,,,
70851:34,"and, uh, so, we had  to make [SOME] adjustments",Yes,Yes,,,,
91333:59,"um, you know, when i first was applying for graduate schools , i applied to [SOME] big programs , you know, in this area, like stevens institute of technology, which  is recognized  in the northeast as, as, you know, one step below m i t in a sense, you know,",Yes,Yes,,,,
159281:32,"and, uh, then i had  to do [SOME] volunteer work here in tyler, texas",Yes,Yes,,,,
4008:21:00,"he did, well, in [SOME] of the later movies",Yes,Yes,,,,
4457:24:00,"so, there must be something to [SOME] of them.",Yes,Yes,,,,
167015:43,"and there r-, there are s-, [SOME] substantial, nasty penalties, um, if you, if businesses try  to avoid that.",No,Yes,,,,
67607:18,"i mean there are [SOME] people,",No,Yes,,,,
55892:50,"uh, and i find ways  to, to turn [SOME] of that back to, to others .",Yes,Yes,,,,
87190:11,"that's [SOME] of the things i think  about it,",Yes,Yes,,,,
142780:82,"as far as the rangers are concerned , i think, i think they need some, definitely need [SOME] pitching.",No,Yes,,,,
2006:05:00,"some of it,",Yes,Yes,,,,
163703:15,"i think [SOME] of them, the artists are even, uh, hitting the pop charts.",Yes,Yes,,,,
7282:17:00,"kind of gives you [SOME] space for yourself,",Yes,Yes,,,,
157519:107,"i'd read one book, i think it was calls  trial by jury of all things, that, uh  went through and interviewed a bunch of jurors in [SOME] of the big cases, and in many cases  looking at what  had, at the evidence afterwards as to whether the decision was right, went back to the jurors, uh, based on the deliberations.",Yes,Yes,,,,
127350:66,"i've, i've heard they're, i hear you have [SOME] problems.",No,Yes,,,,
106267:29,i'd have  to go back through [SOME] expense reports.,Yes,Yes,,,,
143543:20,"and there are, uh, [SOME] fairly sophisticated approaches that  are used  in the high schools with point systems and things like that so that people, uh, gain a competence with respect to the material.",No,Yes,,,,
75025:28,"i mean we need  to redo some, rewiring ourselves",Yes,Yes,,,,
169902:90,"i, i think sometimes, you know, i've noticed, uh, people asking for, uh, [SOME] of the patients asking for things , uh, just repetitively and, but things that  are not reasonable,",Yes,Yes,,,,
69673:14,"they've mumblex [SOME] companies that  are doing, uh, hair tests.",Yes,Yes,,,,
42623:15,"i mean, [SOME] of these saturday night specials that these companies put  out, that  are, pie-, i mean, they're are",Yes,Yes,,,,
169857:78,"i think i'd look for a home where they got a lot of attention  and, uh, where they did [SOME] things  to try  to keep them, um, mentally alive . and where there was, uh, caring and compassionate, where there were caring and compassionate people, uh, operating it .",Yes,Yes,,,,
84633:31,"i mean, they are eighteen to twenty-four, [SOME] of the young men and women.",Yes,Yes,,,,
123034:17,"i know maybe [SOME] of the big things that, uh, uh,",Yes,Yes,,,,
32942:10,they have [SOME] little buds on them,No,Yes,,,,
39035:20,"and they said, bring [SOME] tapes with you.",Yes,Yes,,,,
20045:19,even better than jaws and [SOME] of that.,Yes,Yes,,,,
66700:13,"you know [SOME] people on the case were, were a little hesitant on convicting him on [SOME] of the charges",Yes; Yes,Yes; Yes,,,,
108757:10,"um, [SOME] of it, um,",Yes,Yes,,,,
91185:45,"but [SOME] of the, uh, the small, [SOME] of the larger small schools, you know, i guess around three or four thousand students have a, can offer a broader range of curriculums and things,",Yes,Yes,,,,
149748:21,"you know, particularly in [SOME] of the housing projects, uh, you know, that's, that tends  to be where a lot of that crime is focused",Yes,Yes,,,,
93765:12,"so they took [SOME] time off that, uh, they could show us around.",No,Yes,,,,
38055:13,"and i process [SOME] ratings and put, do graphics for their television stations, mumblex their clients,",Yes,Yes,,,,
87128:10,"there's [SOME] absolutely lovely and marvelous and peaceful areas in washington. regardless of the racial makeup,",No,Yes,,,,
62717:78,"but that's one thing  to be said  for credit. it, how, it gets you [SOME] muscle where you need it  .",No,Yes,,,,
44903:37,"and ma-, maybe let them have [SOME] mock, i mean uh, you know elections and stuff and vote for different people in their classes and start  really young.",No,Yes,,,,
22696:54,"i guess the weirdest thing i've ever caught  is, uh, in [SOME] of the inlets and the rivers around mumblex delaware.",Yes,Yes,,,,
61208:34,"and the, the ground will filter [SOME] of it but not all of it.",Yes,Yes,,,,
66700:68,"you know [SOME] people on the case were, were a little hesitant on convicting him on [SOME] of the charges",Yes; Yes,Yes; Yes,,,,
115343:46,"i read, uh, a lot of steven king, dean r koontz, uh [SOME] danielle steel.",Yes,Yes,,,,
102998:7,"but [SOME] of the different things we're doing , uh there's just not a time, enough time to do it all",Yes,Yes,,,,
7758:15:00,"but, there are [SOME] others out there that i don't believe  deserve the money they're getting .",No,Yes,,,,
133518:49,"well, it went pretty well, uh, other than the fact that we encountered some, uh, problems that you run across  in older homes with plumbing, which one thing led to another ,",Yes,Yes,,,,
142083:50,"some, uh, you know, i have [SOME] good shots and [SOME] bad shots.",No; No,Yes,,,,
45097:7,"now [SOME] people object during primaries,  having  to declare a party, whether republican or democrat",Yes,Yes,,,,
128696:11,they have [SOME] of those in ohio.,Yes,Yes,,,,
146829:11,you see [SOME] of the stuff,Yes,Yes,,,,
121775:13,"um, maybe [SOME] rolls and, um, i guess  some, uh, [SOME] rice or something like that.",No; No,Yes; Yes,,,,
50456:132,"you know, we, we've got folks running around here who  get, who  get degrees in basket weaving and you know, underwater psychology, or some, [SOME] ridiculous stuff like that.",No,Yes,,,,
104342:23,"and i couldn't tell whether [SOME] parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were .",Yes,Yes,,,,
128305:9,"occasionally, [SOME] ice skating will come on, on a sunday or during the olympics",No,Yes,,,,
70357:25,"and, they have, of course, [SOME] pretty severe storms, winter storms, snow and that type of thing.",No,Yes,,,,
144063:31,"well, th-, there were [SOME] people that, uh, that  had a problem with that. because they found out later on that, jeez, you know, a guy will lie rather than get killed .",No,Yes,,,,
108856:73,"you can't understand what they're saying  on [SOME] of those songs which  probably is just as well on [SOME] of them, too.",Yes; Yes,Yes; Yes,,,,
141004:32,and then they'll get  to pick out [SOME] of those favorite snacks that they get  to pick  out,Yes,Yes,,,,
2345:21:00,"i, uh, have attended [SOME] seminars that  had [SOME] tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,",Yes; No,Yes; Yes,,,,
19745:104,"if you ever get a chance to go over to vicksburg, the battleground at vicksburg, uh, there's an area there where there was, uh, [SOME] texas, uh, groups",No,Yes,,,,
133013:23,"um, and it really saved us [SOME] big money once.",No,Yes,,,,
11082:15,but they're predicting [SOME] more snow for our direction.,No,Yes,,,,
134301:16,"or, just have [SOME] wild flowers growing back there would be real pretty.",No,Yes,,,,
125857:6,"and [SOME] days he doesn't,",Yes,Yes,,,,
122421:31,"uh, what, what are [SOME] of the shows that you have been able  to rent   though.",Yes,Yes,,,,
54373:11,there are [SOME] kurds living in iran.,No,Yes,,,,
26057:49,"well, having, having been out of the credit game for [SOME] years now, i've gotten used to  either paying in cash or not getting it.",No,Yes,,,,
18479:6,"and [SOME] places, they, they, they really nail them for tax.",Yes,Yes,,,,
99651:29,"well, it sounds like he's got [SOME] really, you know, good strong ideas of what he wants  to do .",No,Yes,,,,
71201:52,"uh, i kn-, i'm familiar with some, [SOME] upbeat school areas,",Yes,Yes,,,,
20722:22,i know they're doing [SOME] curbside recycling as a kind of a test there.,No,Yes,,,,
42470:35,"but somewhere we've got  to come up with [SOME] money to build,  to build more, you know, and keep these people in them, you know.",No,Yes,,,,
105485:20,"but, uh, we did [SOME] water skiing , of course, and, and, uh, driving around the lake in the boat",No,Yes,,,,
168607:32,"and i thin-, there's also some, uh, i think, uh, poorer lifestyles illustrated but simply because it dominates so much discussionary time.",No,Yes,,,,
52983:20,"i know there are [SOME] good places to go  camping  along the, uh, the lakes.",No,Yes,,,,
51876:10,you get [SOME] kids in there,Yes,Yes,,,,
158476:38,"but they also did, they also did [SOME] of the teaching things",Yes,Yes,,,,
99247:72,"i think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than [SOME] of the high school teachers, i think.",Yes,Yes,,,,
6396:60,"and then i think there's, i mean i think there's [SOME] negatives,",Yes,Yes,,,,
17721:21,"i've, uh, had [SOME] health problems that  have led me to, uh,",No,Yes,,,,
65910:42,i would like  to be a little more into investigating [SOME] of the other countries in the world and their educational problems. and to come up with something a little better than what we've got .,Yes,Yes,,,,
77759:32,but i think it would be nice if [SOME] of the parents would be around for a few more hours.,Yes,Yes,,,,
66134:57,"i, uh, i'm trying my best right now  to pay off [SOME] of mine.",Yes,Yes,,,,
16212:24,"i was going  to make some, uh, like fish chunks and dip it in the fondue.",No,Yes,,,,
70974:78,"so. but, um, that's the hardest part for us is that it's really, um, you know, budgeting and [SOME] extra things, you know, for-, that  are more, you know, nonessential items.",Yes,Yes,,,,
125802:14,"you know, [SOME] places just specialize in just real little ones",Yes,Yes,,,,
17546:43,"and, after i, i graduated, i read [SOME] of the old classics that i just bluffed my way through  and have found that i enjoy them quite a bit, too, uh,",Yes,Yes,,,,
13296:18,"there are, uh, [SOME] groups that  have their children, you know, go away for a year.",No,Yes,,,,
167359:42,"and, uh they have put plastic, plexiglas kind of stuff in [SOME] of the windows.",Yes,Yes,,,,
14833:77,"we're going  to solve, try  to solve the aids problem while, while, you know, [SOME] people are getting killed  here and there",Yes,Yes,,,,
121783:13,that would take [SOME] planning,No,Yes,,,,
148130:31,"uh, i suppose that puts me on [SOME] mailing lists and so forth, because i do get things from ski associations and things, uh, at, during the year.",Yes,Yes,,,,
155085:10,"find [SOME] extra payroll deductions is probably the only way we will be able  to, uh, do it .",Yes,Yes,,,,
168991:40,"so. but, uh, you know, for [SOME] people that's good.",Yes,Yes,,,,
162314:57,"i, i guess they would charge a little bit if there was [SOME] orthodontia or something for one of my dependents or something like that",No,No,,,,
157961:33,"and it has, um, helped us to afford [SOME] things for our children that we couldn't otherwise  that i think  are wonderful particularly at this age,",Yes,Yes,,,,
135453:35,"i know, uh, the bri-, [SOME] of the british people laugh at us because we're so enthralled with their royalty.",Yes,Yes,,,,
76160:21,"and so, i think [SOME] of the things that i did  paid off.",Yes,Yes,,,,
64969:22,and i hope you get [SOME] more calls and make [SOME] more calls.,No; No,Yes; Yes,,,,
79557:42,"i, i'm glad,  to see [SOME] of these things, i think .",Yes,Yes,,,,
81720:33,"and he's trying  to save the land from some, ooze.",No,Yes,,,,
45790:32,"now, they've been able  to get [SOME] good players and come around",Yes,Yes,,,,
1206:10:00,and then [SOME] of them are speaking in a foreign language that i don't even understand .,Yes,Yes,,,,
72488:43,"but we may have  to give up on some, [SOME] things.",Yes,Yes,,,,
117330:23,it ended up i got [SOME] furniture  back that one of them had moved  out or something.,Yes,Yes,,,,
27773:13,i listen to [SOME] country and western,Yes,Yes,,,,
141908:36,"well, it seems like, i don't know, [SOME] things are sensationalized",Yes,Yes,,,,
64299:18,"the other day we had [SOME] hail, the biggest hail i've ever seen  in texas.",No,Yes,,,,
9524:43:00,"well i mean i've had [SOME] pretty bad, i guess [SOME] pretty controversial topics",Yes; Yes,Yes; Yes,,,,
2582:17:00,well i've seen [SOME] people try  to just come in like over the weekend because they want  to use the texteller machine.,No,Yes,,,,
3372:16:00,they came up with [SOME] pretty weird stuff after that.,No,Yes,,,,
164949:21,"ended up  getting [SOME] scholarships to go to college  and which  has been, you know, which  is really nice,",Yes,Yes,,,,
66483:25,what 's amazing is [SOME] of them have been on death row for a number of years.,Yes,Yes,,,,
59544:10,"and then [SOME] of the bigger companies,",Yes,Yes,,,,
33291:14,make hot dogs or [SOME] potato chips,No,Yes,,,,
172002:14,there would be [SOME] types of crimes for which you're not guaranteed  a jury trial .,Yes,Yes,,,,
38641:36,"i've always wanted  to go back and read [SOME] of my literature texts from college um, because i enjoyed [SOME] of those stories so much,",Yes; Yes,Yes; Yes,,,,
63398:14,they even have [SOME] late night ones for people that  work second shift and things like that.,No,Yes,,,,
172589:128,"when you have the, when you have the, uh, the economy to scale and everything that a large corporation has  , and you can, uh, offer [SOME] incentive",No,Yes,,,,
136292:43,"we've been getting quite a bit, maybe not quite as bad as [SOME] of the folks down around san antonio,",Yes,Yes,,,,
153785:23,"you know, i have done [SOME] bow hunting",No,Yes,,,,
