Item_ID	Sentence	20-b
24443:14	there are just some people that i, you know,	###and they should study it.###.###.###yeah.###.###.### i, i, i, i think, i think there's a lot --n407c63 to be said --n407c76 for kids working after school.###.###uh-huh,###sure.###.###i mean, they, they find out whether, just how much of a people person they are --n407ead.###.###that's true,###i found that out when i was in high school --n40800d.###i worked at mcdonald's.###.###oh, and i tell you what,###i worked at mcdonald's as well,###and i, i can tell you one thing,
24454:121	i, i, i hate, um, --n408760 having --n40876b to play such a nice guy. you know, especially when it's all phony --n4087b2. especially when you got some, uh, jerk coming in --n4087e9.	###i mean, they, they find out whether, just how much of a people person they are --n407ead.###.###that's true,###i found that out when i was in high school --n40800d.###i worked at mcdonald's.###.###oh, and i tell you what,###i worked at mcdonald's as well,###and i, i can tell you one thing,###there are just some people that i, you know,###you just came to the point where i mean,###and oh, i eventually worked in a lab, in a la-, as a lab technician,###and i worked front desk.###and i mean, somebody could walk in the door,###and i knew exactly what they were going --n408594 to do --n4085a3 and say --n4085b2.###.###yeah,###yeah###i was the same way too.###i'm not a people person.
24565:28	if someone's having personal problems --n402c07 for some reason that --n402c1e's causing them to h-, behave differently	###uh-huh.###.###and from that point on, uh, at, the n c double a does have something to do --n4022e3 with it,###but it --n4023f1's almost discretionary on the coach's part of each in-, individu-, individual institution to identify the ones that --n40245c have the problem.###.###oh, i see.###so, do you...###.### and, and the ones that --n40263d test positive have --n402650 to retest after a certain period of time.###.###right.###well, do you think that should be implemented --n402792 in the work place###. you know, as like a manager or supervisor thinks --n402853 or has suspicion --n402866 that someone is using drugs, do you think they should have the right to send them --n4028b9 to be tested --n4028cc.###.###well, --n402a53 not being a drug user i don't have a problem with that personally###.###.###right.###.###but i think that might be a violation of someone's rights.
24580:124	and, and it's and it's based --n403044 on, on a perception that someone has --n403077 as how a drug user would behave --n40309a when some drug users behave, uh, normal --n4030c5, uh, you know.	###.###.###right.###.###but i think that might be a violation of someone's rights.###if someone's having personal problems --n402c07 for some reason that --n402c1e's causing them to h-, behave differently###.###right.###.###and their manager assumes they have a drug problem###.###.###i mean if someone assumed that of me, i would be upset.###.###right,###right.###yeah,### it, it would almost be like a, a, uh...###.###it's an accusation,
24606:24	so see i, for some reason, i've come up three times.	###.###right,###exactly.### i, i don't,### the, i think almost the only way that drug testing can be done --n403591 fairly --n40359c is if it's across the board from, from the janitors to the executive management.###.###right.###i agree with that. because i know personally myself, i've been in the same job for three years,###it will be three years in august###and i've already been drug tested --n403917 three times.###.###what type of job do you have --n40399d.###.###well, i'm an environmental engineer###.###uh-huh.###.###and i've been drug tested --n403a86 three times###and i know many people that --n403af8 have never been tested --n403b0f in their lifetime###and the company i work for --n403bd1 is sixty thousand people, plus.
24771:51	well, that's really too bad because it, it's giving some people unfair advantage.	### a-, actually i think that, i, higher level education,###i don't think there's so much of a problem there.###it's pretty much funded --n4007ce well.###there are small colleges that i'm sure --n400849 are struggling###but, uh, it's the job that the, the high school and the grade schools are doing --n400932 that i see, in a area like ours,###our school,###even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child.###i wouldn't let them go to a public school system there.###but, of course, people are trapped --n400d45 economically###and they can't do that.###.###yeah.###i know down here the schools are, you know,###i don't know,###they rate,###i moved to arkansas and texas after --n400f4d living in ohio###and the schools down here rate, you know, --n400ff1 bottom ten percent across the country###and --n4010ad having been through grade school up there and coming down here to high school i can understand why.###because they're so far behind and so poorly staffed --n4011df, half the time the teachers don't know what --n40120e's going on.###.
24798:8	and some of the, the better parts of the metroplex, the, the suburbs that --n401f25 are richer have those kind of target schools.	###well, that was my experience going through junior high up there###when i came down south for high school --n401624 i was just repeating what i'd already done --n40164f. because we were so far advanced.###.###yeah.###.###and, uh, you know, i'd been in a parochial school before junior high###and, you know, even the public schools are behind the parochial schools.###.###yeah.###.###so, you know, i, i like the concept they've got --n40195b now where they have more directed education --n40197e, you know,### you, you pick a career path###or you get counseling earlier###and then you, you learn the things that --n401ba5 help you rather than --n401bbc spending four years --n401bcf learning the same things over and over.###.###like they have that --n401d08 down there that,###.###well, they talk about it###and there are a few in some of the more, like in###i live in a big metroplex
24802:122	it's like if, if your father owns a grocery store and you're really interested in that, there's no reason that you should take college prep courses --n40216e when you can get some general business courses in high school --n4021a1.	###.###and, uh, you know, i'd been in a parochial school before junior high###and, you know, even the public schools are behind the parochial schools.###.###yeah.###.###so, you know, i, i like the concept they've got --n40195b now where they have more directed education --n40197e, you know,### you, you pick a career path###or you get counseling earlier###and then you, you learn the things that --n401ba5 help you rather than --n401bbc spending four years --n401bcf learning the same things over and over.###.###like they have that --n401d08 down there that,###.###well, they talk about it###and there are a few in some of the more, like in###i live in a big metroplex###and some of the, the better parts of the metroplex, the, the suburbs that --n401f25 are richer have those kind of target schools.###but, uh, you know,###.###yeah,
24846:25	and, you know, there's some kids that, you know, --n403503 want --n40350e to go --n40351d learn,	###.###i think the schools today, you know, the public schools are just, they're just overrun --n402c24, you know,###they don't know what to do --n402d63,###there's too many kids and not enough teachers###and too many of the kids don't care.###.###yeah,###i find that that the, that in the, in the cities, it's more like the kids go there --n402f5b so socialize not really to learn###.###and,###.###.###right.###.###and the parents send them there because they're supposed --n403165 to,### and plus it gets them out of their hair.###and i also find that, that you can send a kid to school,###but if --n403379 don't work with them as a parent, i think --n4033b0 you're putting your child at a big disadvantage.###.###yeah,
24911:13	i can see some lady,	###.###because i know the town that i come from --n4047fe the, the, uh, the large i b m plant has something to do --n404859 with the top rated high school because of their tax base for one### and plus for, for the type of student that --n404a69's going to that school, it's going --n404a94 to raise the level of the school because your parents are engineers or chemists.###.###right.###.### they're, they're, you're most likely --n404c93 to do better in school.###they're going --n404d9f to help you.###.###you hope.###.###yeah,###you hope.###well, i think,### i, i don't know.###i just think it, it's, it --n404f69's a duty of the parent to do that.###i mean, jeez, my parents always helped me###and, i don't know,###it's just like you say,###it's the way you're raised --n405212 --n405219 and the economic situation you're in --n405240.
24959:32	maybe we do, we need some more catholic schools,	### we, uh, our town didn't pass the school budget this year and for the first time in many, many years just because people are, are in the recession###and they're,###even though we've, uh, enjoyed very good employment here for the past ten years, now we got eight percent, uh, unemployment when it used --n4063ef to be four or five --n40640a.###people are going, whoa.###.###yeah.###.###so,###.### starts --n4065cc hitting closer to home.###.###yeah,###but i always,###see it's all, it's all money.###this,###like a couple other topics we had talked about --n40676f was crime.### it, it's, it's all money based. and what you can do --n406852 unless you just get down to the parent level### and, and then if you're in a bad situation where you have --n4069e2 to send your child to a bad school --n406a09.###who --n406b12 knows,###bu-,
24962:14	in, uh, some places, uh, you couldn't go to a public school.	###people are going, whoa.###.###yeah.###.###so,###.### starts --n4065cc hitting closer to home.###.###yeah,###but i always,###see it's all, it's all money.###this,###like a couple other topics we had talked about --n40676f was crime.### it, it's, it's all money based. and what you can do --n406852 unless you just get down to the parent level### and, and then if you're in a bad situation where you have --n4069e2 to send your child to a bad school --n406a09.###who --n406b12 knows,###bu-,###maybe we do, we need some more catholic schools,### support the church instead.###they seem --n406c69 to have done a, the good job in the past.
25010:18	uh, we also have some two year college.	###.###well that,###.###but at the same time it's really not, it's not like going to m i t.###my engineering degree will be nothing like somebody coming out of m i t.###and that's, it's really too bad###.###well,###.###but that's,###i don't know,###i think it just builds on the foundation that they've already built --n407f63.###you get people out of high schools and col-, junior colleges that --n40804a don't have the background for an m i t kind of curriculum.###so,###.###so you have --n4081be to go to a lesser engineering school.###we have a very good public school up here###and a degree out there means a lot.###it's a very good school.### it's, it's university of vermont.
25071:15	and i'm not some kind of an idiot,	###.###yeah.###.###and also the, uh,###i don't know###it seems almost like there's this, it's a peer pressure thing is why we keep --n4010d0 wanting --n4010db to do it --n4010ee is so we'll look good to the other nations###because i think they, that's an area that the other nations, especially europe, look down on us like oh, we're just backward wayward children who --n401317 still use this backward system, who --n40133a haven't really attained it yet --n401359.###and i feel it's just pride of why they keep --n401568 trying --n401573 to push it on us --n40158e.###and it's like, hey, we're content with this.###no,###it's probably not as accurate,###probably, you know, intellectually doesn't,###it's not as sound intellectually,###but, like you said i mean, come on.###i had six years of college###and i don't know the metric system###and i don't care --n4019dc to learn it###.###yeah.###.
25273:85	well, um, oh, i guess another thing i've noticed --n4007f5, too, here lately is that even though we've had some pretty warm days, it's been awfully gray, you know, just,	###well, uh, i think the weather lately has been a bit warmer than i would expect this time of year.###.###i think that's true.### the, uh, the bermuda grass is greening up in march, and sometimes doesn't really start --n400251 doing that until the first part of april.### so. so i think we're a little hea-, ahead of schedule on that.###.###yeah.###.###.###yeah,###i was out in my yard yesterday afternoon,###and i noticed all that grass coming up,###and i thought, ooh,###we've got --n40060d to start this mowing bit soon.###.###that's true.###it's been a, a fun break,###but the break is over.###.###yeah.
25340:29	they said that we had a freeze and some kind of bad weather. you know	###.###yeah,###that's true.###um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high.###.###um.###.###and what that tells me --n401ce4, is that the summer weather is very predictable, that it doesn't vary very much.###.###yeah.###you're probably right.###.###i mean, any other time of year, that's not the case, because it could be very warm or very cold.###.###yes,###as a matter of fact, i heard the weather the other day on t v###and i think it was one day this week a year ago###.###uh-huh.###.
25479:56	and, uh, we'll get out of the driving range and, and get some interest built --n401468 up	###so i took out a few videos and watched them for a while,###and i, i hope i'm on the right track.###.###yeah.###.### shot a career low eighty-nine,### so, and my handicap is twenty nine.###.### that's, that's great.###.###i like that.###.###yeah.###now it's, uh, like i say, it's been a while for me, too.### i, uh, i've got my wife motivated about it,###um###.###really.###.###and, uh, i think that's probably going --n401291 to be one of the next investments, is get her, get her a set of clubs
25608:31	and then, you know, we've got some guys here that --n404375 they are, you know, four and five handicappers	###.###yeah.###.###well, about,### that's, that's true of any sport, you know.###if you want --n403fa1 to play tennis, or racquetball,###.###yeah###.###.###you don't want --n40404e to go out and get beat --n40406d to death,###but.###.###right,### and, and people don't want --n404161 to play with somebody that they are going --n404188 to beat --n404197 every time, you know###.###no.###.### and, and, uh,###.
26057:49	well, having, having been out of the credit game for some years now, i've gotten used to --n4045f3 either paying in cash or not getting it.	###uh-huh.###.###um,###.###well, and you're tempted --n4040b5 if you've got cash, a little bit of cash, and you don't have enough for the purchase, right.###.###yeah.###.###of course, you got --n40424f to charge it and keep your cash.###.###sure,###naturally.###that's,###i got into all kinds of trouble --n404375 doing that.###.###what are you saying --n404407.###oh, my husband says i might buy it,###but i, i don't really usually consider that an option.###.###.
26291:55	and, and, it's, it's limited application in some respects.	###.###and get that done --n407a40 this summer.###.###uh, i'm going --n407ab8 to start this summer.###i probably won't finish it until the end of the year###.###ooh.###.###but, uh, i'm, i'm trying --n407c14 to get a, uh, intern position with i b m right now so that i can find an area --n407c73 to do my dissertation in --n407c8e.###.###because you,###.###it --n407e3c's hard finding an area --n407e5f to do a dissertation --n407e76 in this field.###.###why.###there has been so much work done already.###.###yeah,###that's,###that
26625:31	or maybe offer them, you know, some sort of an incentive to do it. uh, you know college credit, you know, something, you know,	###.###yeah,###and there will be a lot of rebellion in that###and when you get people who --n4007a4 have no desire --n4007b7 to be there in the first place --n4007da, i don't think that they're going --n400805 to be serving anybody.###.###that's right.### that, that would be the problem.### sure would.###.###.###yeah.###so i think it --n400a93 would be a good thing though, to encourage other people who --n400ace aren't even aware that they can do such a thing. to get out there and do so.###.###uh-huh.###.###.###uh-huh.###.###.###yeah,
26735:64	and, and that way, --n402f52 handling it that way they could probably get some results out of it.	###i'm not even really sure --n402911 at this point in time, you know, what, what programs --n40294c are out there.###.###yeah,###and that's the other thing is that, you know, instead of --n402ab1 making it mandatory, they maybe need --n402ad4 to publicize it a little bit better. and, uh, you know, go to the schools and do programs, and tell them that we need your help, and, you know, uh, volunteer for such and such a time,###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.###and you've a choice of where you want --n402e6a to go --n402e79.###.###yeah.###.
26756:36	but, they would have --n40373a to be supported --n40374d in some way,	###.###yeah,###like maybe if, if there was something they could do --n4030c8 in their own, own, in their own town or city, yeah, and not have --n403123 to pull up roots and, you know, go somewhere half way around the world, or something.###.###yeah,###in their own community,###right.###.###.###yeah,###that's true.###most of them probably wouldn't do something like that. although there are a lot of kids who --n403484 would do it --n403497 just to get away from their parents.###.###that's right.###.###.###yeah,### that's, that's true too.###that's true too.###.
26767:38	or would they really, you know, make a contribution of some kind.	###most of them probably wouldn't do something like that. although there are a lot of kids who --n403484 would do it --n403497 just to get away from their parents.###.###that's right.###.###.###yeah,### that's, that's true too.###that's true too.###.###but, they would have --n40373a to be supported --n40374d in some way,###and i'm not sure that tho-, those programs are available --n40380c to do that.###.###yeah,###yeah.###me neither.###and, you wonder, you know, what kind of quality job would they do --n403978, you know,### just sit around for their year,###.###right.###.
26819:29	and, i think, that they could get some results from that, because there are a lot of people who --n404847 are volunteer and community minded,	### it wouldn't take up much, much, it would take up more time than anything###but it wouldn't take up a lot of money.###.###yeah.###.###they wouldn't have --n404498 to spend money --n4044ab advertising and things like that.###.###yeah.###that's right.###.###you go to school###and you have a kind of a captive audience,### get them all in the auditorium,###.###yeah.###.###and you, you give them your speech and maybe a little slide show or something,###.###uh-huh.###.
26977:14	i've seen some districts where all the schools are lousy --n40215b	###but i had decided long before i was even married --n401898 that i wanted --n4018ab to, if possible, teach my kids at home and not put them in the public schools.###.###yeah.###.###um, and my reason for that was i don't like the, uh, what's the right word --n401a96. the varied inappropriate influences that you find --n401abd so much in the public schools.###.###well, that's a nice way of putting it.###.###.###you can find a lot of good public schools if you, if you look real hard###but i don't think they could cover everything that you could teach, your children --n401e14 on an individual basis.###.### exact-, exactly,###.###.###and too, most people don't have that option.###.###yeah.###.###you know. and plus it also depends on the district you're in --n40201a as, i mean, on the,
27056:5	some of them were even better behaved.	###well, we had the problem when i was in, with --n403824 teaching, um,###i was eighth and ninth graders that i worked with --n403909###and if we did have a, a student come in and they were drunk or they were on something you had the option of calling the police and have them taken --n403a09 out of the schools or trying --n403a28 to teach them something while they were there.###.###uh-huh.###.###and you don't know if you were reaching them or not###but we felt like, you know, maybe just going ahead and try --n403d4a to teaching them was bet-, trying --n403d6d to teach them was better than have them taken --n403d9c out.###.###yeah.###because, uh, uh, that just,###that doesn't do a lot for them.###i mean it, alleviates your problem###.###yeah.###.###but it doesn't do anything for them.###.###right.###uh, most the time if they were, they were,
27147:10	and consequently some of the very best students were, had excellent memories	###they just,###you sit there and read hundreds and hundreds of cases###and then you get one examine for the whole semester###.###uh-huh.###.###and it's how well you can remember it all --n405b6f.###.### how, how much can you stuff --n405c0e in your brain.###.###yeah.###and i found that a particularly useless way of studying.###.###yeah.###.###i never did.###i always tried --n405dc8 to understand things, not tried --n405de7 to memorize.###.###uh-huh.###.
27330:65	i remembering --n409191 reading a few cases about that when it, when some people first tried that --n4091e0	###um, they try --n408a56 to encourage you to follow a specific curriculum, although you don't have --n408a95 to.###.###uh-huh.###.###and then if you have particular religious beliefs they have to be, they're kind of monitored --n408bdd.###you know, they, they will allow you to,###i can't think of any examples###but certain religious groups don't want their children in public schools because the influence.###and maybe they were a group of mennonites or something like that.###.###uh-huh.###.###i don't think they're were in this area###but, um, they, they are monitored --n409015 by the, um, by the state school board.###.###um.###.###so.###.###that's interesting.
27487:39	and, uh, and, in fact she put some right ba-,	###no,###i haven't.###.###my wife,### we, we built a shed over the long way,###actually, it took,###this is not on the topic###but i did finish it.###but my wife went to the, uh, home depot, i think it was, and, and took a, uh, a copy, took a piece of brick###.###uh-huh.###.###and she wanted --n402ffb to paint the shed### it's, it's a wooden shed, uh,###and she took it###and they've got this machine that --n40315a matches the color of paint.###.###uh-huh.###.###and, uh, they got,
27507:15	and then they wanted some gray to do the, --n40397d to do the trim.	### and, uh, and, in fact she put some right ba-,###she got,###they mixed, uh, a gallon of it###and, uh, it --n4033e7's just remarkable how close it will match the paint --n403416, uh,###and it does it, uh, oh, electronically some, something, magic.###.###oh,###so, they did do a good job.###.###.###yeah,###you know, they,###but it's electronic.###.###yeah.###.###uh, you put your sample under this thing###and it looks at it in-, and, uh, and determines the,###and it, it's really remarkable.###uh, the problem they had --n4038ec
27683:75	but the, the interesting thing is that paint we wound up --n406ecb having --n406ed6 to go back and scrape some of that away	###uh-huh.###.###and the lights shine right at our house.###it's kind of,###we didn't know that when we bought the house --n406839###but,###.###so that, uh,###you get some,###the color doesn't really matter for, because you have that light.###.###yeah.###we have a lot of light,###yeah.###and, well, it, it, it, um, well, it's just, uh, i think it's just the, the, the dark blue to about three feet###and then above that we left it white###so. anyway, it didn't, it didn't change###.###i see.###.
27754:135	i think with, in a way one could talk about simon and garfunkel that way because they do tend, uh, --n40167d to have a dramatic or story approach to their music, uh, usually tend --n4016c0 to have some good or bad moral to it.	###.###yeah,###that was my teenage years.###i was born --n400e2b in fifty### and, and, uh,###.###okay,### we, we're very similarly aged,###so we probably have an in-, interesting perspective on the music on the times,###so i'm just a couple years older than you,###.###yeah.###.###um, essentially i was one of the nerdy types in high school really which --n401138 meant that i, for one reason or another i didn't pay much attention to music,###but as i look back now i realize it was very formative for me,###uh, my early popular music interests were in simon and garfunkel, whom i saw --n4013e4 perform when i was in college --n401403###and i became attached to that style of, uh, urban, urban country if there is such a thing,###.###yeah.###.
27773:13	i listen to some country and western	###.###i think with, in a way one could talk about simon and garfunkel that way because they do tend, uh, --n40167d to have a dramatic or story approach to their music, uh, usually tend --n4016c0 to have some good or bad moral to it.###uh, over time i became very interested in, in baroque classical###and i think that was just through experiencing contacting college and the fact that i found it, it very relaxing for me.###my tastes now run i guess --n401af8 to a upbeat, uh, simon,###.###yeah.###.###it's something that --n401bd1 interests me, uh, combined with, with the classical tastes i had mentioned --n401c18.###and my classical music tends --n401d33 to be confined --n401d46 to the seventeen hundreds, early eighteen hundred music.###i'm not a music, um, mumblex,###i'm not particularly schooled in it.###i know what i like --n401eef to listen to --n401f02 as far as classical music.###and i, i spent a good deal of time --n401ff7 listening also to, uh, people from the late seventies, really, um, neil diamond, for instance. um, people of, of that particular time,###.###that's kind of the way i am --n40221f.###.###.###uh-huh.###.
27780:99	but when i do play, uh, and begin --n40268e to reacquire skills --n4026a1 i inevitably fall in love with country western music which --n4026d0 tends --n4026db to be in some ways easy to play --n40270a for a, for a new piano player.	###.###it's something that --n401bd1 interests me, uh, combined with, with the classical tastes i had mentioned --n401c18.###and my classical music tends --n401d33 to be confined --n401d46 to the seventeen hundreds, early eighteen hundred music.###i'm not a music, um, mumblex,###i'm not particularly schooled in it.###i know what i like --n401eef to listen to --n401f02 as far as classical music.###and i, i spent a good deal of time --n401ff7 listening also to, uh, people from the late seventies, really, um, neil diamond, for instance. um, people of, of that particular time,###.###that's kind of the way i am --n40221f.###.###.###uh-huh.###.###i listen to some country and western###but i'm not sch-, schooled in it###and i, i've enjoyed the times when i have listened to it --n4023d0.###i played a little bit of piano.###i continue --n402502 to do that.###i want --n40256c to do it###and i never have the discipline --n4025df to stay with it,
27797:7	for some reason there's, there's not a whole lot of his stuff that i'm real crazy about --n4039e2,	###i continue --n402502 to do that.###i want --n40256c to do it###and i never have the discipline --n4025df to stay with it,###but when i do play, uh, and begin --n40268e to reacquire skills --n4026a1 i inevitably fall in love with country western music which --n4026d0 tends --n4026db to be in some ways easy to play --n40270a for a, for a new piano player.###.### it is, it's got, uh, basically an easy, uh, rhythm and, and tone.###.###right.###.###and it's, it's pretty, fairly well easily to uh, uh, something to fall into --n402ab9.###i'm kind of the say way,### i, i've gone through different periods of life, uh, in music from pop to classical.###i guess one of the things was that --n402db6 influenced me was that i, i've worked in radio stations as a d j for all my college years --n402e11 trying --n402e1c to support my way through there, and suppor-, was support,###i was influenced --n40304e by all different kinds of music but basically because that's where i worked --n40308d.###and i've developed a real love for, uh, classical music in, probably junior high and high school because my band instructor was, uh, heavy into classical type music.###he said he used --n4032f4 to sit on saturday mornings and watch cartoons just --n40331f to hear the music, uh, that they were using --n403352 behind them because they used, especially disney used --n40337d a lot of classical music, uh, behind the cartoons###and so consequently we wind up, wound up --n403599 playing a lot of classical music there###and i think that, uh, got deep seated into me.###one of things i especially like --n40373c now in music regardless of what kind it is --n403767, uh, are those that --n403786 call on those classical, uh, roots, i guess --n4037bd,###uh, barry manilow comes to mind
27798:15	but he does have some things.	###i want --n40256c to do it###and i never have the discipline --n4025df to stay with it,###but when i do play, uh, and begin --n40268e to reacquire skills --n4026a1 i inevitably fall in love with country western music which --n4026d0 tends --n4026db to be in some ways easy to play --n40270a for a, for a new piano player.###.### it is, it's got, uh, basically an easy, uh, rhythm and, and tone.###.###right.###.###and it's, it's pretty, fairly well easily to uh, uh, something to fall into --n402ab9.###i'm kind of the say way,### i, i've gone through different periods of life, uh, in music from pop to classical.###i guess one of the things was that --n402db6 influenced me was that i, i've worked in radio stations as a d j for all my college years --n402e11 trying --n402e1c to support my way through there, and suppor-, was support,###i was influenced --n40304e by all different kinds of music but basically because that's where i worked --n40308d.###and i've developed a real love for, uh, classical music in, probably junior high and high school because my band instructor was, uh, heavy into classical type music.###he said he used --n4032f4 to sit on saturday mornings and watch cartoons just --n40331f to hear the music, uh, that they were using --n403352 behind them because they used, especially disney used --n40337d a lot of classical music, uh, behind the cartoons###and so consequently we wind up, wound up --n403599 playing a lot of classical music there###and i think that, uh, got deep seated into me.###one of things i especially like --n40373c now in music regardless of what kind it is --n403767, uh, are those that --n403786 call on those classical, uh, roots, i guess --n4037bd,###uh, barry manilow comes to mind###for some reason there's, there's not a whole lot of his stuff that i'm real crazy about --n4039e2,
27799:10	chicago had some things,	###and i never have the discipline --n4025df to stay with it,###but when i do play, uh, and begin --n40268e to reacquire skills --n4026a1 i inevitably fall in love with country western music which --n4026d0 tends --n4026db to be in some ways easy to play --n40270a for a, for a new piano player.###.### it is, it's got, uh, basically an easy, uh, rhythm and, and tone.###.###right.###.###and it's, it's pretty, fairly well easily to uh, uh, something to fall into --n402ab9.###i'm kind of the say way,### i, i've gone through different periods of life, uh, in music from pop to classical.###i guess one of the things was that --n402db6 influenced me was that i, i've worked in radio stations as a d j for all my college years --n402e11 trying --n402e1c to support my way through there, and suppor-, was support,###i was influenced --n40304e by all different kinds of music but basically because that's where i worked --n40308d.###and i've developed a real love for, uh, classical music in, probably junior high and high school because my band instructor was, uh, heavy into classical type music.###he said he used --n4032f4 to sit on saturday mornings and watch cartoons just --n40331f to hear the music, uh, that they were using --n403352 behind them because they used, especially disney used --n40337d a lot of classical music, uh, behind the cartoons###and so consequently we wind up, wound up --n403599 playing a lot of classical music there###and i think that, uh, got deep seated into me.###one of things i especially like --n40373c now in music regardless of what kind it is --n403767, uh, are those that --n403786 call on those classical, uh, roots, i guess --n4037bd,###uh, barry manilow comes to mind###for some reason there's, there's not a whole lot of his stuff that i'm real crazy about --n4039e2,###but he does have some things.
27803:45	uh, and i think even electric light orchestra had some, some real, um, influences by classical music	###.###right.###.###and it's, it's pretty, fairly well easily to uh, uh, something to fall into --n402ab9.###i'm kind of the say way,### i, i've gone through different periods of life, uh, in music from pop to classical.###i guess one of the things was that --n402db6 influenced me was that i, i've worked in radio stations as a d j for all my college years --n402e11 trying --n402e1c to support my way through there, and suppor-, was support,###i was influenced --n40304e by all different kinds of music but basically because that's where i worked --n40308d.###and i've developed a real love for, uh, classical music in, probably junior high and high school because my band instructor was, uh, heavy into classical type music.###he said he used --n4032f4 to sit on saturday mornings and watch cartoons just --n40331f to hear the music, uh, that they were using --n403352 behind them because they used, especially disney used --n40337d a lot of classical music, uh, behind the cartoons###and so consequently we wind up, wound up --n403599 playing a lot of classical music there###and i think that, uh, got deep seated into me.###one of things i especially like --n40373c now in music regardless of what kind it is --n403767, uh, are those that --n403786 call on those classical, uh, roots, i guess --n4037bd,###uh, barry manilow comes to mind###for some reason there's, there's not a whole lot of his stuff that i'm real crazy about --n4039e2,###but he does have some things.###chicago had some things,###.###right.###.
27808:28	i find it --n403dd7 very interesting that some television shows that i enjoy --n403e02 i particularly like the music.	### i, i've gone through different periods of life, uh, in music from pop to classical.###i guess one of the things was that --n402db6 influenced me was that i, i've worked in radio stations as a d j for all my college years --n402e11 trying --n402e1c to support my way through there, and suppor-, was support,###i was influenced --n40304e by all different kinds of music but basically because that's where i worked --n40308d.###and i've developed a real love for, uh, classical music in, probably junior high and high school because my band instructor was, uh, heavy into classical type music.###he said he used --n4032f4 to sit on saturday mornings and watch cartoons just --n40331f to hear the music, uh, that they were using --n403352 behind them because they used, especially disney used --n40337d a lot of classical music, uh, behind the cartoons###and so consequently we wind up, wound up --n403599 playing a lot of classical music there###and i think that, uh, got deep seated into me.###one of things i especially like --n40373c now in music regardless of what kind it is --n403767, uh, are those that --n403786 call on those classical, uh, roots, i guess --n4037bd,###uh, barry manilow comes to mind###for some reason there's, there's not a whole lot of his stuff that i'm real crazy about --n4039e2,###but he does have some things.###chicago had some things,###.###right.###.###uh, and i think even electric light orchestra had some, some real, um, influences by classical music###and i'm still, still,###my favorite,###in fact most of my c d --s are classical music.###.
27864:37	i usually get to the point where i can play some of my favorite themes --n405531	###uh-huh.###.###uh, and my family now knows if they come into my study and, uh, i happen --n404e49 to have had a tough day at work and maybe i'm trying --n404e84 to get a project done, uh, at school, uh, and i'm humming or whistling in a sort of mad crazy way the tune to downtown they know --n404f0b to just stay away,###.###.###that's their signal.###.###they can hear the unconscious music signal behind it,###.###yeah.###.###that's right.###.###when did you first take your, uh, first piano lesson --n4052c2.###.###uh, probably about first grade,###.###yeah.###.###and i have, uh, returned about every four or five years to --n4053d4 thinking that i would like --n4053ef to do something about it.
27908:51	i just, you know, i can just drift off into some other world --n406c28 just listening to that for hours if i ever have the time to do that --n406c73,	### but, but it doesn't for me.###.###.###no,###it's making that, that connection especially with the mechanical parts of it.###i was never able --n406260 to, to master all that.###in fact my brother and sister both, they were, oh, thirteen, sixteen years older than i,###they went through the, uh, parent thing where you've got --n406447 to practice or you're not going out --n40646e to play --n40647d thing,###.###.###and when it came to my turn --n4065b0 the folks said no we're not going through that again,###they sold the piano,###and is the turns out i was the only one who --n406710 really had an interest in it and never got --n40673b to,###so i,###.###uh-huh.###.###that's one of things i felt like i missed --n4068e5 in life###and i, i really,###in fact, uh, one of my favorite things to do --n406a3b now is sit down and listen to chopin, that --n406a6e is played --n406a7d on, uh, piano.
28108:162	because if, if i had been allowed --n404d27 to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way --n404dd2 to work it out --n404de9,	###well, still taking care of the children is a very important job.###.###uh-huh.###.### and, and someone's got --n404365 to do it, and be able --n404388 to do it right,### and and if it's not mom then, then dad or somebody's got --n4044ba to move in there and do the job, because the kids really need it.###.###and enjoy it,### that's, that's the whole thing.###.###.###yeah.###.###.###i think that's the thing that we're going --n40475c to see --n40476b,###well, i think the biggest thing we're going --n404854 to see --n404863 coming up in the next ten year, even in the, even now they're starting --n4048ae to do it, but i think it's going --n4048e1 to be more in the next ten to fifteen years, is that there's going --n404928 to be a lot of women,###and they're going --n404bf5 to have --n404c04 to work it out to working part time.###.###uh-huh.###.
28274:4	some kids are really having it.	###.###they're going --n4086a3 to say to the kids you need --n4086c6 do this, because it needs --n4086e5 to be done --n4086f8 not because it's a woman's job or a man's job, but because it's dirty and it needs --n408757 to be clean.###.###uh-huh.###.###.###yeah.###.###.###yeah.###.###.###but i think in between we got a group of kids, a generation of kids who --n4089cc didn't learn --n4089df to take responsibility because mom left --n4089fe to go --n408a0d get a job and dad didn't move in --n408a38 to fill the gap.###and so, basically no one was taking the responsibility###.###and it's going --n408cbc to, it's going --n408cd7 to,###.###and i think that's happened in a lot of cases.###.###yeah,
