Item_ID	Vector_Representation
20839:32	-0.1777143031358719,0.24184729158878326,0.23115326464176178,-0.34043383598327637,-0.22942054271697998,0.10743043571710587,-0.11258594691753387,0.3296006917953491,-0.09159710258245468,0.05933206155896187,0.2240460067987442,0.06609747558832169,0.2929111123085022,0.1422978639602661,0.22611884772777557,-0.385038286447525,0.23190370202064514,0.13493943214416504,-0.4395824670791626,0.15734197199344635,0.25419843196868896,0.0777357965707779,0.10465884208679199,-0.13085754215717316,0.2503668963909149,-0.11560004949569702,-0.18331816792488098,-0.344448447227478,0.048838235437870026,-0.09283515810966492,-0.2089201956987381,0.18919618427753448,0.11699621379375458,0.20230625569820404,-0.1259728968143463,0.18657076358795166,-0.017791684716939926,0.19621028006076813,0.13417178392410278,-0.16821956634521484,-0.31352120637893677,-0.27130040526390076,0.006954357959330082,-0.2988515794277191,0.06459452956914902,0.08256562799215317,0.12856532633304596,-0.07627236098051071,-0.11903562396764755,-0.4651728570461273,-0.09549751877784729,-0.006575367879122496,0.05554632842540741,0.945961594581604,-0.36451780796051025,-2.080723285675049,-0.1892746388912201,-0.048490993678569794,1.3127501010894775,0.5280200839042664,-0.15460136532783508,0.7391722798347473,-0.17987334728240967,0.19191746413707733,0.6216318011283875,-0.03664736822247505,0.5589277744293213,0.1310187429189682,0.05399741604924202,-0.10010410845279694,-0.0571860633790493,-0.30564433336257935,-0.035446520894765854,-0.5671267509460449,0.14269115030765533,0.05742800235748291,0.06919212639331818,0.06383461505174637,-0.6278656125068665,0.04937237128615379,0.5755473971366882,-0.023373162373900414,-0.5325800180435181,0.07386035472154617,-1.0712395906448364,-0.2087850272655487,0.16167980432510376,-0.14318589866161346,-0.06144377961754799,-0.07834547758102417,0.06165694072842598,-0.15506184101104736,-0.08772239089012146,0.27431008219718933,-0.5767706036567688,-0.1309286653995514,-0.3837140202522278,-0.2022039294242859,0.6784374117851257,0.3040010929107666
2100:38	-0.22546273469924927,0.2571394741535187,0.45376452803611755,-0.25525563955307007,-0.3021130859851837,0.2510526478290558,-0.29584255814552307,0.3980788290500641,0.11263055354356766,-0.03448837250471115,0.1798797994852066,0.1265343576669693,0.1561884731054306,-0.03490763157606125,0.06861218810081482,-0.29454997181892395,0.22082437574863434,0.25997984409332275,-0.3241540193557739,0.5619872212409973,0.3418109118938446,-0.13775481283664703,0.015320366248488426,-0.09391459822654724,0.09352894127368927,-0.09012474119663239,-0.2536008954048157,-0.5459127426147461,0.2489888072013855,-0.4571981728076935,-0.30307453870773315,0.6234312057495117,-0.09660308808088303,0.05581182613968849,-0.21232818067073822,0.3915207087993622,-0.07719982415437698,0.09727000445127487,-0.2098192721605301,-0.13436199724674225,-0.4300854504108429,-0.07443452626466751,0.14202000200748444,-0.4067627787590027,-0.33065447211265564,-0.07952322065830231,0.2744410037994385,-0.35212382674217224,-0.10712545365095139,-0.577594518661499,-0.11007045954465866,-0.1080867275595665,0.08423645794391632,1.0586726665496826,-0.385405033826828,-2.4214982986450195,-0.009541819803416729,-0.35201990604400635,1.4830790758132935,0.25459784269332886,0.10170882195234299,0.8774137496948242,-0.16980598866939545,-0.03412728011608124,0.6629214882850647,0.04214299097657204,0.49237558245658875,0.29042088985443115,0.21754290163516998,-0.269393652677536,0.067239910364151,-0.42469942569732666,-0.0025809123180806637,-0.3303934931755066,0.36248263716697693,-0.02405654825270176,-0.15126556158065796,-0.06720136106014252,-0.794115424156189,0.07064072787761688,0.44986361265182495,-0.1688845157623291,-0.6294727325439453,0.12478890269994736,-1.3034018278121948,-0.13118545711040497,0.23724599182605743,-0.13730071485042572,-0.10474199801683426,-0.19426172971725464,-0.02000727504491806,-0.11673753708600998,-0.10266726464033127,0.04334818571805954,-0.421310156583786,-0.12194356322288513,-0.29100501537323,-0.5002236366271973,0.4456008970737457,0.5738499760627747
21020:14	-0.1720571219921112,0.16969570517539978,0.5725942850112915,-0.26192742586135864,-0.35847416520118713,0.19013643264770508,-0.18165799975395203,0.19987155497074127,-0.24942921102046967,0.05445978417992592,0.19782808423042297,0.11959181725978851,0.1348152905702591,0.06068100407719612,0.22171887755393982,-0.21015000343322754,0.11570636928081512,-0.03269064426422119,-0.058942217379808426,0.3388543128967285,0.4266869127750397,-0.0563073493540287,0.2533184289932251,0.19413305819034576,0.20730607211589813,0.018942777067422867,0.0841880664229393,-0.303878515958786,-0.03430967777967453,-0.2975189983844757,-0.006199427880346775,0.3534955084323883,-0.1160643920302391,0.19675013422966003,-0.1424354463815689,0.2325468361377716,0.08836836367845535,0.30517837405204773,-0.093978650867939,-0.15501710772514343,-0.28778573870658875,-0.30209285020828247,0.11617003381252289,-0.23217429220676422,-0.13559184968471527,-0.039405710995197296,0.1738000065088272,-0.1935362070798874,0.05055338144302368,-0.4681132733821869,0.005799646954983473,0.01282001007348299,0.05684593319892883,0.9164448380470276,-0.6953993439674377,-2.0200493335723877,0.03049314208328724,-0.16800834238529205,1.4108208417892456,0.28333038091659546,-0.057264067232608795,0.6030406951904297,-0.16883642971515656,0.113654725253582,0.6863042712211609,0.24407072365283966,0.3670992851257324,0.3782053291797638,0.11579949408769608,0.016946136951446533,0.1392057090997696,-0.15170814096927643,-0.08953165262937546,-0.44720202684402466,0.14636392891407013,-0.10093950480222702,0.13418786227703094,-0.02529163658618927,-0.9196578860282898,0.15206243097782135,0.657180666923523,-0.27003148198127747,-0.3410257399082184,0.02025439217686653,-1.09653639793396,-0.0976814404129982,-0.17719556391239166,-0.35893702507019043,0.10991676896810532,-0.17180456221103668,-0.03795721381902695,0.05888235569000244,-0.12277136743068695,0.15785767138004303,-0.3834938704967499,-0.21902421116828918,-0.3022756576538086,-0.44827717542648315,0.5578690767288208,0.16072092950344086
21123:14	-0.2239561378955841,0.07039608061313629,0.4905182719230652,-0.21456286311149597,-0.10072849690914154,0.25182563066482544,-0.2779649794101715,0.12768800556659698,-0.38324615359306335,0.06415414810180664,0.11454784870147705,0.05321364849805832,0.21431657671928406,0.002093356568366289,0.144041508436203,-0.3215261399745941,0.04479414224624634,-0.11605728417634964,-0.20478591322898865,0.10481847822666168,0.20043234527111053,-0.026736872270703316,0.03583163395524025,-0.11638642847537994,0.2704978287220001,-0.2226656973361969,0.18210271000862122,-0.2816164791584015,0.004157743416726589,-0.14016668498516083,-0.03551385551691055,0.28781065344810486,0.0399971567094326,-0.014433641918003559,-0.12871356308460236,0.20835992693901062,0.020056141540408134,0.4330202043056488,-0.005935422144830227,-0.20052465796470642,-0.5525789856910706,-0.2762453854084015,0.2598135471343994,-0.251695841550827,-0.14995205402374268,0.03265243023633957,0.26201921701431274,-0.4926735758781433,-0.1313932090997696,-0.6553840637207031,0.20849785208702087,-0.03704921528697014,0.274424284696579,0.9662572741508484,-0.45415231585502625,-2.3834214210510254,0.05844556912779808,-0.09432778507471085,1.6305207014083862,0.594869077205658,-0.09963399916887283,0.7221135497093201,-0.18356765806674957,0.0414714477956295,0.8147158026695251,-0.0520537868142128,0.4569403827190399,0.1534426510334015,0.1638038605451584,-0.21183562278747559,0.06320386379957199,-0.177446648478508,-0.13265612721443176,-0.2471541464328766,0.25417399406433105,0.11924463510513306,-0.2063622772693634,0.030156999826431274,-0.9916813969612122,0.0029062118846923113,0.6217635869979858,0.07637935876846313,-0.5301471948623657,0.10236968845129013,-1.3640387058258057,-0.206874281167984,-0.11457471549510956,-0.13854356110095978,0.05224141851067543,-0.5101078152656555,-0.029465360566973686,-0.015665220096707344,-0.16214893758296967,0.34852170944213867,-0.6648179292678833,-0.0777464359998703,-0.37105634808540344,-0.4098763167858124,0.5969719886779785,0.30412164330482483
2180:39	-0.07793015241622925,0.3053233325481415,0.3289644122123718,-0.3094092607498169,0.02239980362355709,0.13868513703346252,-0.1555955857038498,0.13822409510612488,-0.12669658660888672,0.0766289010643959,0.13183096051216125,0.03853433579206467,0.3004959225654602,0.06613389402627945,0.05949754640460014,-0.2834848463535309,0.155319482088089,0.12231329828500748,-0.5361045598983765,0.30394890904426575,0.5339978933334351,0.09504181146621704,0.3174837529659271,0.027280446141958237,0.05639979988336563,-0.17359255254268646,-0.07021715492010117,-0.4765130877494812,0.03873967379331589,-0.23342306911945343,0.08315519988536835,0.45608776807785034,-0.1224486380815506,0.1495252102613449,0.12281278520822525,0.31455469131469727,0.0796978622674942,0.49635523557662964,0.07718519866466522,-0.0047671496868133545,-0.5262995362281799,-0.3176768124103546,0.15333962440490723,-0.4237688481807709,-0.09706385433673859,-0.03257695585489273,0.23455479741096497,-0.374575674533844,-0.020807703956961632,-0.9091899991035461,-0.007312601897865534,-0.14137408137321472,0.31200510263442993,1.1659305095672607,-0.262639582157135,-2.5801548957824707,0.023490050807595253,-0.3135360777378082,1.5767104625701904,0.7298816442489624,-0.08604373037815094,0.7842004895210266,-0.2829356789588928,0.1796932816505432,0.7772595882415771,-0.013049398548901081,0.6140826940536499,0.5384925603866577,0.18765847384929657,-0.24972638487815857,0.10441415011882782,-0.4241127073764801,-0.2222432643175125,-0.3784509301185608,0.12299515306949615,0.013705702498555183,-0.08414514362812042,0.06040790677070618,-1.129185676574707,-0.0459723062813282,0.6870191097259521,-0.03379354253411293,-0.5372821688652039,0.0033198415767401457,-1.5774708986282349,-0.19317829608917236,0.1428656280040741,-0.14633403718471527,-0.31263095140457153,-0.510359525680542,-0.1144082322716713,-0.14332468807697296,-0.2015315592288971,-0.05355098098516464,-0.5718687772750854,-0.09521490335464478,-0.3128613829612732,-0.35548481345176697,0.596140444278717,0.19582197070121765
2199:135	-0.06244562193751335,0.21531884372234344,0.4026610255241394,-0.2717573642730713,-0.10378541052341461,0.09321726113557816,-0.1761079579591751,0.1437845379114151,-0.1605880856513977,-0.024198034778237343,0.22440576553344727,-0.03933259844779968,0.24156668782234192,0.04614830017089844,0.2032642364501953,-0.17928346991539001,0.1773061752319336,0.0920976996421814,-0.5223139524459839,0.23817840218544006,0.30452579259872437,-0.006835903972387314,0.23997251689434052,-0.07487047463655472,0.16554591059684753,-0.04366510361433029,-0.12279275804758072,-0.5316197276115417,0.03313061594963074,-0.17500139772891998,-0.1165974959731102,0.5328226089477539,-0.12069685757160187,0.13635553419589996,0.022148380056023598,0.2913598120212555,-0.06311473250389099,0.3533746600151062,0.05246438831090927,-0.22065937519073486,-0.47952452301979065,-0.3233455717563629,0.07502417266368866,-0.29610973596572876,-0.27061060070991516,-0.04601747542619705,0.12648256123065948,-0.3951621651649475,-0.08641205728054047,-0.896825909614563,0.08311965316534042,-0.00482391519472003,0.17747773230075836,1.2226401567459106,-0.26756396889686584,-2.5833396911621094,0.011940648779273033,-0.2329193353652954,1.6840587854385376,0.5454605221748352,-0.15993568301200867,0.8093320727348328,-0.3206462860107422,0.1273880898952484,0.7272279262542725,-0.07611430436372757,0.46938151121139526,0.4880673289299011,0.03362005949020386,-0.07850770652294159,-0.005806444678455591,-0.2683540880680084,-0.07064294815063477,-0.5636475086212158,0.1455957591533661,0.09729525446891785,-0.07507222145795822,-0.02210497111082077,-0.9049713015556335,-0.059374041855335236,0.6737411022186279,0.07486705482006073,-0.5007838606834412,0.11107061803340912,-1.3962018489837646,-0.21812430024147034,0.15779884159564972,-0.06219848245382309,-0.33459892868995667,-0.39687201380729675,-0.07146332412958145,-0.21066419780254364,-0.13347426056861877,0.008525367826223373,-0.5600634813308716,-0.058942269533872604,-0.19258885085582733,-0.2790829539299011,0.53346186876297,0.3374665081501007
22018:5	-0.08728799968957901,0.3200719952583313,0.3145969808101654,-0.1704060137271881,0.08940200507640839,0.4023340344429016,-0.4323440194129944,0.08854199945926666,-0.26506292819976807,-0.24041199684143066,0.2272091805934906,-0.028879601508378983,0.47426000237464905,0.12327799946069717,0.27752700448036194,-0.6543639898300171,0.055028002709150314,0.13075420260429382,-0.16644059121608734,0.5425220131874084,0.14844739437103271,0.13815440237522125,0.3996065855026245,-0.27685999870300293,-0.13530810177326202,-0.45455798506736755,0.217443585395813,-0.42616596817970276,-0.04224810004234314,-0.15749600529670715,-0.008955812081694603,0.13964539766311646,-0.2814219892024994,-0.17064160108566284,0.21715597808361053,0.060071997344493866,0.18177999556064606,0.3596023917198181,-0.14485520124435425,-0.08202920109033585,-0.6684780716896057,-0.2683059573173523,0.10926999896764755,-0.4635160565376282,-0.10193679481744766,-0.06950260698795319,0.19288960099220276,-0.08847299963235855,-0.14108499884605408,-0.6182180643081665,0.2304207980632782,-0.10242841392755508,-0.1369556039571762,1.1256239414215088,-0.3857560157775879,-2.108839988708496,0.19574840366840363,-0.4774940013885498,1.608139991760254,0.5327080488204956,-0.11031180620193481,1.2050080299377441,-0.12242360413074493,0.24005600810050964,0.8186119794845581,0.04917120188474655,0.7857879996299744,0.5358849763870239,0.3436261713504791,-0.3046119809150696,-0.10504200309515,-0.3729465901851654,-0.22373279929161072,-0.34926778078079224,-0.037970006465911865,0.2544080317020416,-0.04146040230989456,0.07321280241012573,-1.1629319190979004,-0.07787380367517471,0.7395026087760925,0.0842600017786026,-0.7563279867172241,0.23668289184570312,-1.6628398895263672,-0.06852219998836517,-0.10434699058532715,-0.0853814110159874,-0.2750820219516754,-0.4685540199279785,-0.16549000144004822,-0.2369574010372162,-0.09005199372768402,-0.2734079957008362,-0.8957819938659668,-0.23022358119487762,-0.6934660077095032,-0.4395100176334381,0.8668819665908813,0.3828200399875641
22419:43	-0.06775293499231339,0.2645397186279297,0.36395034193992615,-0.5408093333244324,-0.23003457486629486,0.4699205458164215,-0.2460295855998993,0.18060915172100067,-0.07711797952651978,-0.04204535111784935,0.16468670964241028,0.10703133791685104,0.2153441458940506,0.07072029262781143,0.2320028692483902,-0.18432314693927765,-0.05667978525161743,0.275846928358078,-0.48615574836730957,0.5891003012657166,0.4766165316104889,0.20131637156009674,0.21248915791511536,-0.2100820690393448,0.13983170688152313,0.05776107311248779,-0.2933608889579773,-0.40875107049942017,0.19271476566791534,-0.407854288816452,-0.04053785279393196,0.4810453951358795,0.1870400607585907,-0.021766794845461845,0.00891957152634859,0.12508150935173035,-0.11997330188751221,0.28318706154823303,0.12683935463428497,-0.10490035265684128,-0.4054880738258362,-0.15325050055980682,0.058011215180158615,-0.5142737627029419,-0.18378734588623047,0.062054913491010666,0.0694863572716713,-0.22074685990810394,-0.2650521397590637,-0.7259799838066101,-0.16362395882606506,-0.0027507597114890814,-0.2143007069826126,1.0116370916366577,-0.2797318696975708,-2.2390873432159424,0.012960503809154034,-0.043164853006601334,1.6079857349395752,0.4362757205963135,-0.10100028663873672,1.072882056236267,-0.3500198721885681,0.09027651697397232,0.652400016784668,0.16129949688911438,0.66886967420578,0.3534829318523407,0.0006509018712677062,-0.29901865124702454,-0.03262840211391449,-0.3353509306907654,0.03984948620200157,-0.34509414434432983,0.007745430804789066,0.1480797827243805,-0.16607485711574554,-0.07204107195138931,-0.6380501389503479,0.02863486111164093,0.8159928917884827,-0.02043071761727333,-0.6201228499412537,0.07119431346654892,-1.429673433303833,-0.21340776979923248,0.11063084751367569,-0.0584336519241333,-0.34177207946777344,-0.4169172942638397,0.0626760795712471,-0.20520663261413574,-0.08406906574964523,-0.19156335294246674,-0.6040617227554321,-0.2353927195072174,-0.16668501496315002,-0.1041720062494278,0.5071478486061096,0.31684595346450806
22630:77	-0.31158411502838135,0.2378574013710022,0.4110056459903717,-0.3360420763492584,-0.08546992391347885,0.17146126925945282,-0.09739305078983307,0.22861941158771515,-0.15567947924137115,0.04746350273489952,0.1427852362394333,0.07959580421447754,0.1589796394109726,0.1580847203731537,0.21468867361545563,-0.3821961283683777,0.16403301060199738,0.0900893583893776,-0.3592221438884735,0.398516446352005,0.13627873361110687,0.14529071748256683,0.23956531286239624,0.010170010849833488,0.18227577209472656,0.038445498794317245,-0.1897294819355011,-0.5472623109817505,0.05821344628930092,-0.2826218605041504,-0.19560885429382324,0.3228438198566437,-0.10190396755933762,0.0750582218170166,0.07796450704336166,0.36474016308784485,-0.031373996287584305,0.361685574054718,0.06940357387065887,-0.3011157512664795,-0.3599056005477905,-0.29945024847984314,-0.12076615542173386,-0.4150116741657257,-0.17250768840312958,0.13371266424655914,0.19716157019138336,-0.3421436548233032,-0.11281886696815491,-0.6660121083259583,-0.07360240072011948,0.0036105834878981113,0.16431237757205963,0.9725514650344849,-0.5497891902923584,-1.968903660774231,0.1544322967529297,-0.2351839542388916,1.437218189239502,0.38138043880462646,-0.2953968048095703,0.7919968962669373,-0.025625847280025482,0.1639188826084137,0.6564565300941467,0.09996252506971359,0.5331687331199646,0.1514897495508194,0.11779458820819855,-0.2687857449054718,-0.08824802935123444,-0.17968477308750153,-0.07412873208522797,-0.32113945484161377,0.008190338499844074,0.11964625865221024,-0.10487793385982513,0.030552145093679428,-0.6130332946777344,0.121134914457798,0.5801449418067932,-0.1207331046462059,-0.46412503719329834,0.2918456196784973,-1.2259496450424194,-0.02496003732085228,0.09288287907838821,-0.09910602867603302,0.05650854855775833,-0.28660690784454346,-0.18295124173164368,-0.12665948271751404,-0.080492302775383,-0.025899726897478104,-0.44896191358566284,-0.09738138318061829,-0.26949113607406616,-0.4205237925052643,0.5851939916610718,0.15185001492500305
22656:29	-0.2289583683013916,0.518410861492157,0.36946991086006165,-0.329448938369751,-0.2696203887462616,0.1801043450832367,-0.07163293659687042,0.22764144837856293,-0.07703335583209991,-0.2631736993789673,0.043331533670425415,0.11489708721637726,0.5152428150177002,0.07626155018806458,0.07966390997171402,-0.326118528842926,-0.12135017663240433,0.16557735204696655,-0.44451484084129333,0.3947799801826477,0.3768564462661743,0.35149043798446655,0.2134179174900055,-0.17569467425346375,0.09257546067237854,0.009845549240708351,-0.06513018161058426,-0.49711182713508606,0.005407864227890968,-0.23763662576675415,-0.1640583574771881,0.31324049830436707,0.035189274698495865,-0.0575631707906723,0.21014404296875,0.3778200149536133,-0.16353069245815277,0.41113045811653137,0.08638635277748108,-0.44137999415397644,-0.4156528413295746,-0.26629573106765747,0.012525987811386585,-0.46278002858161926,-0.19026266038417816,-0.25340381264686584,0.3956836462020874,-0.2814619839191437,-0.11584499478340149,-0.8166636824607849,0.01323999185115099,-0.22352862358093262,0.12321900576353073,1.1137818098068237,-0.4043372869491577,-2.289743661880493,0.054831717163324356,-0.18806582689285278,1.3420138359069824,0.6418372392654419,-0.37578725814819336,1.1918762922286987,-0.30727440118789673,0.14422102272510529,0.8233690857887268,-0.02080836147069931,0.590792715549469,0.2524395287036896,0.17173407971858978,-0.2762669324874878,9.40060053835623e-05,-0.3337640166282654,0.023051727563142776,-0.36037784814834595,0.15930543839931488,0.09328499436378479,-0.05836545303463936,-0.01579529233276844,-0.7189643979072571,0.12218554317951202,0.5843430161476135,-0.15401799976825714,-0.6299355030059814,0.12905476987361908,-1.3063207864761353,-0.13455873727798462,0.06623473763465881,-0.2917703688144684,-0.4655718505382538,-0.3339901864528656,-0.014089088886976242,-0.2200385481119156,-0.13189145922660828,-0.07018926739692688,-0.6793372631072998,-0.06313318014144897,-0.41159096360206604,-0.3476402759552002,0.523701012134552,0.38783904910087585
22657:23	-0.370820015668869,0.2601639926433563,0.1745358258485794,-0.29567232728004456,-0.1537645012140274,0.11322332173585892,-0.21644540131092072,-0.034934502094984055,-0.2572956681251526,-0.189741849899292,-0.05908766761422157,0.2223220020532608,0.24887017905712128,-0.07672333717346191,0.08460500091314316,-0.09069166332483292,0.19118566811084747,-0.03185482695698738,-0.45432212948799133,0.5510550141334534,0.39759382605552673,-0.039404336363077164,0.3150278329849243,-0.23330949246883392,0.19444392621517181,0.206661656498909,-0.4576230049133301,-0.4727382957935333,0.2652267515659332,-0.23880214989185333,-0.33140382170677185,0.3578145205974579,-0.1162378266453743,0.08110233396291733,0.04995015636086464,0.41839537024497986,-0.15831224620342255,0.21432749927043915,0.0737503245472908,-0.31526532769203186,-0.4684382975101471,-0.2843650281429291,-0.21970216929912567,-0.5737533569335938,-0.171925351023674,0.07833166420459747,0.06920000910758972,-0.385081022977829,-0.03920266032218933,-0.5929316878318787,-0.23959235846996307,0.1409354954957962,0.02436167001724243,1.0944650173187256,-0.3674011528491974,-2.0939300060272217,-0.1644744873046875,-0.305051326751709,1.366566777229309,0.3663061857223511,-0.4010799825191498,0.7823716998100281,-0.08842300623655319,0.3727395236492157,0.7235633730888367,-0.10286299139261246,0.33928266167640686,0.1587483286857605,0.10903483629226685,-0.4324129819869995,-0.22955934703350067,-0.3106996715068817,0.05838000401854515,-0.32256197929382324,-0.08499716967344284,-0.026643499732017517,-0.5233759880065918,0.028216948732733727,-0.21513836085796356,0.31408432126045227,0.7187566757202148,-0.03273070976138115,-0.4388600289821625,0.014106233604252338,-1.1441516876220703,-0.23929183185100555,0.4594433307647705,0.1716088503599167,-0.24365352094173431,-0.05844417214393616,-0.02861965447664261,-0.021885501220822334,-0.1804521679878235,-0.659674346446991,-0.58992999792099,-0.2999333143234253,-0.29084083437919617,-0.16100166738033295,0.5855628848075867,0.132197305560112
22696:54	-0.12570731341838837,0.07242292165756226,0.5613279938697815,-0.4224447011947632,-0.09301579743623734,0.16671274602413177,-0.13078059256076813,0.13097476959228516,-0.0585748590528965,-0.14499200880527496,0.12918856739997864,0.09376708418130875,0.20752546191215515,0.006280531641095877,0.19071240723133087,-0.22858524322509766,-0.027739735320210457,-0.01257793977856636,-0.21635572612285614,0.21134379506111145,0.19874638319015503,0.37548020482063293,0.2827525734901428,-0.15088924765586853,0.16864334046840668,-0.0547579750418663,-0.1753990352153778,-0.37096238136291504,-0.07433119416236877,-0.19406652450561523,-0.13845479488372803,0.126455619931221,0.2202872782945633,0.07967770844697952,-0.051554981619119644,0.18896788358688354,-0.09784819930791855,0.2648531496524811,0.10036550462245941,-0.14869816601276398,-0.46361470222473145,-0.0862937793135643,0.042332012206315994,-0.3226669728755951,-0.06960002332925797,0.2818438708782196,0.40824857354164124,-0.25345009565353394,-0.0022142226807773113,-0.42973846197128296,-0.12423118948936462,-0.07904110848903656,0.016231011599302292,0.7036893963813782,-0.49625810980796814,-1.7066888809204102,0.17545831203460693,-0.14332011342048645,1.0568517446517944,0.306291788816452,-0.14850221574306488,0.7804203033447266,-0.12206367403268814,0.2601942718029022,0.6834073066711426,0.043920017778873444,0.392871230840683,0.15020908415317535,0.04679334908723831,-0.20075875520706177,0.1583428680896759,-0.1717185229063034,-0.08113101869821548,-0.1235615536570549,0.12403281778097153,0.0586870051920414,-0.11905982345342636,-0.12309646606445312,-0.5630564093589783,0.2815381586551666,0.3292452096939087,0.032474834471940994,-0.3583376705646515,0.11991741508245468,-1.0300217866897583,-0.11509796231985092,-0.10528213530778885,-0.3634127378463745,0.009953385218977928,-0.274270623922348,-0.14653317630290985,-0.018812162801623344,-0.15313559770584106,0.13434012234210968,-0.4184042513370514,0.0835152342915535,-0.3225269615650177,-0.2888309955596924,0.3824811279773712,0.3116135597229004
22799:53	-0.03389010205864906,0.14582444727420807,0.5014228820800781,-0.3163827061653137,-0.28922906517982483,0.35731130838394165,-0.21254104375839233,0.12448892742395401,-0.12179675698280334,-0.060755666345357895,0.22856692969799042,0.14922674000263214,0.18496307730674744,-0.017449604347348213,0.2440633922815323,-0.2990262806415558,0.1061413437128067,0.23294425010681152,-0.4568125307559967,0.4078957736492157,0.2626175284385681,0.025061167776584625,0.03492340072989464,-0.25018981099128723,0.10310020297765732,-0.034558139741420746,-0.13015155494213104,-0.6248940825462341,0.17683972418308258,-0.3324827551841736,-0.07996039092540741,0.43993356823921204,-0.011197967454791069,0.041854534298181534,-0.08834390342235565,0.2728620171546936,-0.037492282688617706,0.26765182614326477,0.0008898584637790918,-0.1738014966249466,-0.5201400518417358,-0.1706097275018692,0.19786305725574493,-0.5342159271240234,-0.27114391326904297,0.031318046152591705,0.21592718362808228,-0.3230770230293274,-0.12378756701946259,-0.8079250454902649,0.021657247096300125,0.019447211176156998,0.08030717074871063,1.0857473611831665,-0.23850852251052856,-2.4625515937805176,0.02123403176665306,-0.18124844133853912,1.548507809638977,0.5324705243110657,-0.013757260516285896,0.8906391859054565,-0.35922008752822876,0.05529145523905754,0.7718088626861572,0.02067308872938156,0.6612884998321533,0.39342567324638367,-0.02238583005964756,-0.2456435114145279,0.0489845909178257,-0.398007333278656,-0.09201229363679886,-0.4464209973812103,0.16493432223796844,0.14038912951946259,-0.1681559532880783,-0.13128767907619476,-0.8379061222076416,0.02831253968179226,0.6273031830787659,0.013477702625095844,-0.7077789902687073,0.10359847545623779,-1.5574615001678467,-0.1571943759918213,0.09807750582695007,-0.05276386812329292,-0.29355180263519287,-0.41180846095085144,-0.0652865320444107,-0.18596138060092926,-0.01955634541809559,-0.06986713409423828,-0.5551775693893433,-0.24782152473926544,-0.2238767147064209,-0.26708564162254333,0.40069976449012756,0.3593263030052185
22932:13	-0.1434645652770996,0.5626517534255981,0.4774942696094513,-0.34234142303466797,-0.1839471161365509,0.2816561758518219,-0.10660772025585175,0.23478570580482483,0.11206885427236557,-0.2836771607398987,0.17912712693214417,0.009486942552030087,0.37561485171318054,0.0721832662820816,0.25435671210289,-0.26552286744117737,-0.10504715144634247,0.19990643858909607,-0.11897613853216171,0.626994252204895,0.2990357279777527,0.37378641963005066,0.09246256202459335,-0.3421292006969452,0.05171014741063118,-0.15343572199344635,-0.10317692905664444,-0.5654285550117493,-0.047323815524578094,-0.30252519249916077,-0.2163057178258896,0.37620997428894043,0.20053113996982574,-0.0977088212966919,0.31314173340797424,0.361801415681839,-0.08600813895463943,0.1807468682527542,0.15968428552150726,-0.32689571380615234,-0.2441871464252472,-0.2736428380012512,0.18076686561107635,-0.5594695806503296,-0.20341484248638153,-0.1002747192978859,0.47899457812309265,-0.1432875543832779,-0.075934998691082,-0.7486256957054138,0.13702642917633057,-0.3018088638782501,-0.00759513583034277,1.0310885906219482,-0.2439451515674591,-2.452685832977295,0.04724728688597679,-0.05341856926679611,1.3097542524337769,0.4414871037006378,-0.10673271119594574,0.9346442818641663,-0.5059364438056946,0.055909574031829834,0.8602943420410156,-0.024679427966475487,0.573172926902771,0.28416115045547485,0.09506314247846603,-0.3033715784549713,0.1438879817724228,-0.3256511688232422,-0.043153006583452225,-0.17191779613494873,0.26946568489074707,0.1099785640835762,0.1571604311466217,0.038027260452508926,-0.689664363861084,0.01639542542397976,0.43341630697250366,-0.1741381585597992,-0.5312042832374573,0.02027663215994835,-1.5052144527435303,-0.11854786425828934,0.04014328867197037,-0.22120384871959686,-0.3399828374385834,-0.3534085750579834,-0.02148628607392311,-0.22529712319374084,-0.043658576905727386,-0.08434426784515381,-0.6948515772819519,0.1357918530702591,-0.37255358695983887,-0.4857509732246399,0.4707471430301666,0.5228342413902283
